Date,Open,Close,High,Low,Volume,ticker
2019-01-02,108.47690771468378,108.15518951416016,108.68856170590523,106.91066301231129,7631700,JNJ
2019-01-03,108.48537847337555,106.43656921386719,108.59544269206198,106.13178692378868,8654500,JNJ
2019-01-04,107.6218191155065,108.22291564941406,108.91713399298783,107.29163942024975,8831700,JNJ
2019-01-07,108.0535995772127,107.52870178222656,108.66317060012845,107.35091319432794,8404700,JNJ
2019-01-08,108.51923384790611,110.0262222290039,110.48338918986002,108.13826568663771,9351600,JNJ
2019-01-09,109.91616754756163,109.15420532226562,110.26328324180749,108.64624342373784,7403500,JNJ
2019-01-10,108.10442966297802,109.8145980834961,109.96698280576732,108.10442966297802,6224400,JNJ
2019-01-11,109.21347239940842,109.84843444824219,109.92462679370162,108.6293052475476,5300400,JNJ
2019-01-14,108.99336910062013,108.60391998291016,109.17962568930697,108.0197527655139,7374400,JNJ
2019-01-15,108.80709515111283,109.51824951171875,109.62831372883706,108.07053688405584,5194400,JNJ
2019-01-16,109.56059151897446,108.40071868896484,109.56059151897446,108.28219941203749,6264200,JNJ
2019-01-17,108.12132227684225,109.2896499633789,109.65370153967345,107.90966828919065,7632000,JNJ
2019-01-18,109.97541507691864,110.64424896240234,111.0590825416246,109.59444045419681,10593000,JNJ
2019-01-22,108.53619168961902,109.0441665649414,109.63679530725905,107.52872282767902,10568100,JNJ
2019-01-23,108.79017912728021,109.0441665649414,109.46747465493083,108.30760816305903,9267800,JNJ
2019-01-24,108.78170419239288,107.54563903808594,108.95948633398096,105.82700943827524,9917000,JNJ
2019-01-25,108.47693060930169,108.56158447265625,108.7478410577083,107.54564768404146,7585100,JNJ
2019-01-28,108.20598067995368,109.20499420166016,109.34044293344469,107.76574323540252,6927700,JNJ
2019-01-29,109.17114319062698,110.3394775390625,110.45800327598086,108.79016853041344,6669300,JNJ
2019-01-30,110.37334881175396,111.44855499267578,111.9141964819205,110.31409239585257,7299300,JNJ
2019-01-31,111.44008045246353,112.66767120361328,114.45403167652873,110.79664395406553,17298100,JNJ
2019-02-01,113.46347531236354,113.61585998535156,114.030706459043,112.99783394767609,9575200,JNJ
2019-02-04,113.41269130203943,112.49834442138672,113.57353749951336,111.9311132202878,7759000,JNJ
2019-02-05,113.04017817455103,112.49834442138672,113.34496046810195,112.38828020144632,6449800,JNJ
2019-02-06,112.667660640859,112.59992980957031,113.0825071381265,112.0073011837133,5066100,JNJ
2019-02-07,112.1343108615497,111.79566955566406,112.29517000326358,111.35542552334252,6085300,JNJ
